Missing_Mechanism,KNN_RMSE,SVM_RMSE,KNN_MAE,SVM_MAE,KNN_R2,SVM_R2,KNN_Time,SVM_Time
MAR,8.548277485390818,7.882140875050761,3.435574962564559,3.708024872940864,0.9239773032622253,0.4180638726045427,0.3171467781066894,56.7838484843572
MCAR,6.760881683590507,8.24666090396653,2.5071727019473316,3.5460300934597115,0.9387658266411073,0.9128427519171357,0.7457062403361002,57.297912081082664
MNAR,8.554139752978505,9.007793274872151,3.9520625494429584,4.030342265604365,0.951326025286359,0.944253512078231,0.5015446742375692,57.46227157115936
