Missing_Percentage,KNN_RMSE,SVM_RMSE,KNN_MAE,SVM_MAE,KNN_R2,SVM_R2,KNN_Time,SVM_Time
10,6.95465494829408,8.049732073331874,3.10881065597662,3.490016887301343,0.9513116188564554,0.8193259998910518,0.436715046564738,55.91589220364889
20,8.477712679550189,8.380450504632675,3.458518690602069,3.807922633574988,0.9317404415779151,0.721613796649993,0.524332324663798,56.9540642897288
30,8.43093129411556,8.706412475924893,3.32748086737616,3.9864577111286095,0.931017094755321,0.7342203400588647,0.6033503214518229,58.674075643221535
