Scenario_Type,KNN_RMSE,SVM_RMSE,KNN_MAE,SVM_MAE,KNN_R2,SVM_R2,KNN_Time,SVM_Time,Hybrid_RMSE,Hybrid_MAE,Hybrid_R2,Hybrid_Time
ActivityDependent,1.147544588278617,5.202399969739473,0.8117042832289965,2.8787789726792155,0.9458669889745147,-0.12405685665224107,0.14662925402323398,56.39065543810526,1.1681330366324774,0.8315154539687413,0.9439382134207267,76.6329779624939
BatteryDepletion,15.949010382503017,10.56188178036205,6.059445641900122,4.537270773202512,0.9020876175499358,0.9601846018613265,0.48766430219014484,57.17704153060913,15.407470118551553,6.031385608213306,0.9151660990910958,76.985950867335
ConnectionIssues,8.999069103383514,10.380849659154945,3.5402755895245104,4.31756376292947,0.9018253589196895,0.8692843150935806,0.7603512605031332,56.94982957839966,9.260301554524366,3.646884394213714,0.895825310761068,76.8036437034607
RandomSensorFailures,4.522694263797503,6.112472148778115,1.4740698143701527,2.774496423989954,0.9757062943625251,0.956401188740691,0.7310612201690674,57.64599458376566,3.9879641897705045,1.3985227908621791,0.9813899167046963,77.6438193321228
RangeLimitation,8.97521812232833,9.759303043892123,4.1060603278449035,4.677374262733717,0.9223402480545069,0.908723997557597,0.6213951905568441,58.44334125518799,8.594711693241939,4.005456778059984,0.9286716086135499,76.6812075773875
ValueDependent,8.133061383628677,8.25628350585218,3.798064771041014,3.383310268475014,0.980311802518211,0.9797830265988652,0.38169415791829425,56.48120188713074,8.908795116103216,4.102819410269707,0.9761332840314035,543.865000486374
