Scenario,KNN_RMSE,KNN_MAE,KNN_R2,KNN_Time,SVM_RMSE,SVM_MAE,SVM_R2,SVM_Time,Missing_Mechanism,Scenario_Type,Missing_Percentage
MCAR_RandomSensorFailures_10pct,3.3075220942543,1.2019265153358547,0.9865770820076524,0.6016032695770264,5.360513435621602,2.4453142674483948,0.9647422814451884,56.06341147422791,MCAR,RandomSensorFailures,10
MCAR_ConnectionIssues_10pct,9.456358382448784,3.696261167310422,0.8904426868751458,0.6696774959564209,10.823762609544652,4.489813903456005,0.8564675678764233,55.65929651260376,MCAR,ConnectionIssues,10
MAR_ActivityDependent_10pct,1.0569451227999265,0.7741434728579185,0.953164314596732,0.1301813125610351,4.282037414485576,2.075316887034816,0.2312716153810026,55.14610052108765,MAR,ActivityDependent,10
MAR_BatteryDepletion_10pct,13.201885847617255,5.783588995998566,0.9544546300578616,0.3312928676605224,11.51150564645264,5.134119117059867,0.9653712711932462,56.139724016189575,MAR,BatteryDepletion,10
MNAR_ValueDependent_10pct,6.4794690501757,3.045825398322316,0.9881793866403116,0.3702430725097656,6.671789324886906,2.2806755114332518,0.987467266032955,56.18812155723572,MNAR,ValueDependent,10
MNAR_RangeLimitation_10pct,8.225749192468514,4.151118386034645,0.9350516129610288,0.5172922611236572,9.648784008999868,4.514861637375725,0.9106359974174956,56.29869914054871,MNAR,RangeLimitation,10
MCAR_RandomSensorFailures_20pct,4.931928830633448,1.5727928976184389,0.9715587704720788,0.7663524150848389,5.82977986819335,2.6349349943694893,0.9602608038741614,55.72305560112,MCAR,RandomSensorFailures,20
MCAR_ConnectionIssues_20pct,8.87887287754607,3.532553209446362,0.9013606212357986,0.7732770442962646,10.426467994998909,4.313230301234767,0.8639780234968233,55.75051546096802,MCAR,ConnectionIssues,20
MAR_ActivityDependent_20pct,1.1635658826923887,0.8256477256354159,0.9450335764739844,0.161440372467041,5.755128587331819,3.309228298825105,-0.3447005596551853,58.071858644485474,MAR,ActivityDependent,20
MAR_BatteryDepletion_20pct,19.059648887036897,7.16730608143858,0.8662742897322092,0.4572541713714599,10.410776943573184,4.422931339656928,0.9601019743988256,57.51315546035767,MAR,BatteryDepletion,20
MNAR_ValueDependent_20pct,7.883414099920402,3.602744593930088,0.9812881562596216,0.3745489120483398,8.033801379981082,3.3308858615757715,0.98056743704147,56.48051571846008,MNAR,ValueDependent,20
MNAR_RangeLimitation_20pct,8.948845499471933,4.050067635543528,0.9249272352937982,0.6131210327148438,9.826748253717708,4.836325005787868,0.9094751007438632,58.18528485298157,MNAR,RangeLimitation,20
MCAR_RandomSensorFailures_30pct,5.32863186650476,1.6474900301561644,0.968983030607844,0.8252279758453369,7.147123142519393,3.2432400101519776,0.9442004809027232,61.1515166759491,MCAR,RandomSensorFailures,30
MCAR_ConnectionIssues_30pct,8.661976050155685,3.3920123918167464,0.9136727686481242,0.8380992412567139,9.892318372921276,4.149647084097637,0.8874073539074951,59.4396767616272,MCAR,ConnectionIssues,30
MAR_ActivityDependent_30pct,1.2221227593435364,0.835321651193655,0.9394030758528276,0.1482660770416259,5.570033907401023,3.251791732177725,-0.2587416256825405,55.95400714874268,MAR,ActivityDependent,30
MAR_BatteryDepletion_30pct,15.5854964128549,5.2274418482632194,0.8855339328597368,0.6744458675384521,9.763362751060324,4.054761862890742,0.9550805599919076,57.87824511528015,MAR,BatteryDepletion,30
MNAR_ValueDependent_30pct,10.036301000789932,4.745624320870637,0.9714678646547,0.4002904891967773,10.063259812688548,4.538369432416018,0.9713143767221706,56.77496838569641,MNAR,ValueDependent,30
MNAR_RangeLimitation_30pct,9.751059675044548,4.116994961956536,0.9070418959086936,0.7337722778320312,9.80237686895879,4.680936145037558,0.906060894511432,60.84603977203369,MNAR,RangeLimitation,30
